mes;var;indice
sep-21;3,5;7369,29872
oct-21;3,5;7627,224175
nov-21;2,5;7817,90478
Dec-21;3,8;8114,985161
Jan-22;3,9;8431,469583
feb-22;4,7;8827,748653
mar-22;6,7;9419,207813
Apr-22;6;9984,360282
may-22;5,1;10493,56266
jun-22;5,3;11049,72148
jul-22;7,4;11867,40087
Aug-22;7;12698,11893
sep-22;6,2;13485,4023
oct-22;6,3;14334,98264
nov-22;4,9;15037,39679
Dec-22;5,1;15804,30403
Jan-23;6;16752,56227
feb-23;6,6;17858,23138
mar-23;7,7;19233,3152
Apr-23;8,4;20848,91368
may-23;7,8;22475,12894
jun-23;6;23823,63668
jul-23;6,3;25324,52579
Aug-23;12,4;28464,76699
sep-23;12,7;32079,7924
oct-23;8,3;34742,41516
nov-23;12,8;39189,44431
Dec-23;25,5;49182,7526
Jan-24;20,6;59314,39964
feb-24;13,2;67143,90039
mar-24;11;74529,72944
Apr-24;8,8;81088,34563
may-24;4,2;84494,05614
jun-24;4,6;88380,78272
jul-24;4;91916,01403
Aug-24;4,2;95776,48662
sep-24;3,5;99128,66365
oct-24;2,7;101805,1376
